Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
17K465I.S. 382 - BROOKLYNSCA CIPIP SURVEILLANCE CAMERAS,Scope,126,127,16210,6646,6646
17K465I.S. 382 - BROOKLYNSCA CIPIP SURVEILLANCE CAMERAS,Design,181,114,59436,26774,26774
17K465I.S. 382 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS AND ROOF,Scope,141,155,21295,19186,19186
17K465SCIENCE TECH & RESEARCH - KSCA CIP RESOAFY15 RESO A ELECTRONICS LAB,Scope,123,68,0,14508,14508
17K465SCIENCE TECH & RESEARCH - KSCA CIP RESOAFY15 RESO A ELECTRONICS LAB,Design,153,114,69933,90675,59597
17K465SCIENCE TECH & RESEARCH - KSCA CIP RESOAFY15 RESO A ELECTRONICS LAB,Construction,269,269,1025688,828762,794081
17K465SCIENCE TECH & RESEARCH - KSCA CIP RESOAFY15 RESO A ELECTRONICS LAB,"CM, F&E",269,269,106981,151305,142205
17K465SCIENCE TECHNOLOGY & RESEARCHSCA CIP RESOAFY11 RESO A AUDITORIUM HVAC,Scope,127,48,0,32513,32513
17K465SCIENCE TECHNOLOGY & RESEARCHSCA CIP RESOAFY11 RESO A AUDITORIUM HVAC,Design,155,175,110005,232273,223257
29Q238I.S. 238 - QUEENSSCA Emergency LightiLL 41/16 COMPLIANCE,Design,165,138,2600,19488,19488
29Q268P.S. 268 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,210,67,35000,34733,34733
29Q268Q009 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,189,100000,99250,99250
29Q270P.S. / I.S. 270 - QUEENSSCA CIPDEFECTIVE PARAPETS/EXT MASONRY/ROOFS,Scope,137,135,89028,120447,120447
29Q270P.S. / I.S. 270 - QUEENSSCA CIPDEFECTIVE PARAPETS/EXT MASONRY/ROOFS,Design,150,143,350228,281444,265203
29Q270P.S. / I.S. 270 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,46,35000,34629,34629
29Q420EXCELSIOR PREP HIGH SCHOOL - QSCA CIPEXT MASONRY/ROOFS/PAVED AREA-CONCRETE,Scope,138,138,113076,162068,150527
29Q420EXCELSIOR PREP HIGH SCHOOL - QSCA CIPEXT MASONRY/ROOFS/PAVED AREA-CONCRETE,Design,155,128,446720,418327,396187
29Q420G. WASHINGTON CARVER HS FOR SCSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,21,9618,2564,2564
29Q420LYFE PROGRAMSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,94,71,0,9656,757
29Q420EXCELSIOR PREP HIGH SCHOOL - QSCA CIP RESOAFY17 RESO A SCIENCE LAB UPGRADES,Scope,60,129,8109,8109,1573
29Q420EXCELSIOR PREP HIGH SCHOOL - QSCA CIP RESOAFY17 RESO A SCIENCE LAB UPGRADES,Design,151,179,6291,6291,6291
29Q420G. WASHINGTON CARVER HS FOR SCDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,117,100000,99244,99244
29Q420QUEENS PREPARATORY ACADEMY - QDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,262,110,100000,99249,99249
29Q490INSTITUTE FOR HEALTH PROFESSIOSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,31,10256,2734,2734
29Q490JACKSON HSSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,61,61
29Q490JACKSON HSSCA Emergency LightiLL 41/16 COMPLIANCE,Design,165,138,2600,17480,17480
29Q490HUMANITIES & THE ARTS HS - QDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,109,65000,64508,64508
29Q892P.S. 360 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,88,35000,34730,34730
30Q002P.S. 2 - QUEENSSCA CIP RESOAFY15 RESO A ACCESSIBILITY,Scope,142,219,0,22252,22252
30Q002P.S. 2 - QUEENSSCA CIP RESOAFY15 RESO A ACCESSIBILITY,Design,169,153,49106,57503,50089
30Q010I.S. 10 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,28,7619,1889,1889
30Q010I.S. 10 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,45,124,35000,34738,34738
30Q010I.S. 10 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,124,60000,59550,59550
30Q010I.S. 10 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,124,60000,59549,59549
30Q011P.S. 11 - QUEENSSCA CapacityADDITION,Scope,149,242,1837500,1445065,1435249
30Q011P.S. 11 - QUEENSSCA CapacityADDITION,Design,113,247,6890625,4728151,3725153
30Q011P.S. 11 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,103,75000,74227,74227
30Q017THE 30TH AVENUE SCHOOLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,94,35000,34738,34738
30Q017THE 30TH AVENUE SCHOOLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,94,60000,59542,59542
30Q069P.S. 69 - QUEENSSCA CIPDEFECTIVE CHIMNEY MASONRY/FLOOD/ROOFS/FLOORING,Scope,137,229,54361,71936,70032
30Q069P.S. 69 - QUEENSSCA CIPDEFECTIVE CHIMNEY MASONRY/FLOOD/ROOFS/FLOORING,Design,153,204,199324,102129,95749
30Q069P.S. 69 - QUEENSSCA CIP RESOAFY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,126,18,0,3063,3063
30Q070P.S. 70 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,89,60000,59550,59550
30Q084P.S. 84 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,34,5755,1776,1776
30Q085P.S. 85 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,40,7261,2039,2039
30Q085P.S. 85 - QUEENSSCA CIPRPZ VALVES/LOW VOLTAGE/ELECTRICAL UPG,Scope,266,266,49764,32808,32808
30Q085P.S. 85 - QUEENSSCA CIPRPZ VALVES/LOW VOLTAGE/ELECTRICAL UPG,Design,154,101,182467,150391,141362
30Q085P.S. 85 - QUEENSSCA CIPRPZ VALVES/LOW VOLTAGE/ELECTRICAL UPG,Construction,364,709,1932486,2283904,1788616
30Q085P.S. 85 - QUEENSSCA CIPRPZ VALVES/LOW VOLTAGE/ELECTRICAL UPG,"CM, F&E",364,709,448122,281458,270412
30Q085P.S. 85 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,84,84,60000,59550,59550
30Q112P.S. 112 - QUEENSSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,95,97,0,36514,33798
30Q112P.S. 112 - QUEENSSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,137,54,78143,64887,64842
17K465I.S. 382 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,64,95000,94287,94287
17K470H.S. 745 - BROOKLYNSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,27,15257,2631,2631
17K600CLARA BARTON HS - KSCA CIPEXTERIOR MASONRY/ROOFS,Scope,135,115,105960,125342,124918
17K600CLARA BARTON HS - KSCA CIPEXTERIOR MASONRY/ROOFS,Design,156,127,423840,335330,329531
17K600CLARA BARTON HS - KSCA CIPEXTERIOR MASONRY/ROOFS,Construction,449,449,7947000,7494283,6694022
17K600CLARA BARTON HS - KSCA CIPEXTERIOR MASONRY/ROOFS,"CM, F&E",449,449,494480,427903,426909
17K600CLARA BARTON HS - KDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,141,200000,198493,198493
17K625PATHWAYS IN TECHNOLOGYSCA CIPEXT MASONRY/ROOFS/PARAPETS/WINDOWS/FLOOD,Scope,224,150,185892,181274,167441
17K625PATHWAYS IN TECHNOLOGYSCA CIPEXT MASONRY/ROOFS/PARAPETS/WINDOWS/FLOOD,Design,153,143,737335,343833,337805
17K884P.S. 884 - BROOKLYNSCA Lease Site ImproLEASE,Scope,63,63,54050,123865,123865
17K884P.S. 884 - BROOKLYNSCA Lease Site ImproLEASE,Design,111,176,172960,302653,286160
17K884P.S. 884 - BROOKLYNSCA Lease Site ImproLEASE,Construction,364,360,2425764,2246694,1688544
17K884P.S. 884 - BROOKLYNSCA Lease Site ImproLEASE,"CM, F&E",364,360,341596,416393,358820
18K066P.S. 66 - BROOKLYNSCA CIPFIRE ALARM SYSTEM REPLACEMENT,Scope,90,70,16893,21421,21421
18K066P.S. 66 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,113,100000,99245,99245
18K068I.S. 68 - BROOKLYNSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,121,39,6086,1834,1834
18K068I.S. 68 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,78,125000,124061,124061
18K114P.S. 114SCA CIPEXTERIOR MASONRY,Scope,137,372,43760,147144,147144
18K114P.S. 114SCA CIPEXTERIOR MASONRY,Design,152,211,153160,216067,196625
18K114P.S. 114SCA CIPEXTERIOR MASONRY,Construction,449,1723,2483380,2897877,1994509
18K114P.S. 114SCA CIPEXTERIOR MASONRY,"CM, F&E",449,1723,175040,555730,549278
18K114P.S. 114 - BROOKLYNSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,122,24,10110,1708,1708
18K115P.S. 115 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,121,125000,124062,124062
18K208P.S. 208 - BROOKLYNSCA CIPCRACKED MASONRY/FLOOD/WINDOWS/ROOFS,Scope,140,119,73307,77134,77119
18K208P.S. 208 - BROOKLYNSCA CIPCRACKED MASONRY/FLOOD/WINDOWS/ROOFS,Design,153,136,273874,201098,158793
18K208P.S. 208 - BROOKLYNSCA CIPCRACKED MASONRY/FLOOD/WINDOWS/ROOFS,Construction,449,744,3398018,3446710,2584883
18K208P.S. 208 - BROOKLYNSCA CIPCRACKED MASONRY/FLOOD/WINDOWS/ROOFS,"CM, F&E",449,744,593712,510073,491934
18K208Q000 - QUEENSSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,60,44,0,13950,5480
18K211I.S. 211 - BROOKLYNSCA CIPINTERIOR SPACES/HEATING PLT/ELEC/CLIMATE/FLOOD EL,Scope,151,71,183615,183027,183024
18K211I.S. 211 - BROOKLYNSCA CIPINTERIOR SPACES/HEATING PLT/ELEC/CLIMATE/FLOOD EL,Design,153,210,721730,705974,651379
18K211I.S. 211 - BROOKLYNSCA CIPINTERIOR SPACES/HEATING PLT/ELEC/CLIMATE/FLOOD EL,Construction,659,852,12389920,13289401,12024184
18K211I.S. 211 - BROOKLYNSCA CIPINTERIOR SPACES/HEATING PLT/ELEC/CLIMATE/FLOOD EL,"CM, F&E",659,852,1022360,1252867,1201611
18K211I.S. 211 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,91,200000,198499,198499
18K211I.S. 211 - BROOKLYNDOE- RESOAFY16 RESO A SCIENCE LAB UPGRADES,Construction,327,327,175635,175635,175635
18K219P.S. 219 - BROOKLYNSCA CIPWATER INFILTRATION/ROOFS/EXT MASONRY/PARAPETS,Scope,139,132,275820,121416,117628
18K219P.S. 219 - BROOKLYNSCA CIPWATER INFILTRATION/ROOFS/EXT MASONRY/PARAPETS,Design,155,244,1103280,265576,265495
31R006P.S. 6 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,52,55000,54556,54556
31R007I.S. 7 - STATEN ISLANDSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,60,196,0,12399,12399
31R007I.S. 7 - STATEN ISLANDSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Design,157,108,24000,35758,11292
31R007R025 SPED - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,110,50000,49615,49615
31R008P.S. 8 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,91,80000,79392,79392
31R008P.S. 8 - STATEN ISLANDDOE- RESOAFY16 RESO A PLAYGROUND REDEVELOPMENT,Construction,91,91,157500,79497,79497
31R011P.S. 11 - STATEN ISLANDSCA CIPTOILETS - STUDENTS,Scope,106,0,18788,446,446
31R011P.S. 11 - STATEN ISLANDSCA CIPTOILETS - STUDENTS,Design,169,76,75151,58162,29139
31R016P.S. 16 - STATEN ISLANDSCA CIPELECTRICAL SYSTEMS,Scope,123,68,18600,5244,5244
31R016P.S. 16 - STATEN ISLANDSCA CIPELECTRICAL SYSTEMS,Design,153,103,68200,20979,20979
31R019P.S. 19 - STATEN ISLANDSCA CIPPARAPETS/FLOOD/AREAWAY WINDOWS/EXT MASONRY/ROOFS,Scope,136,158,128744,75443,72871
31R019P.S. 19 - STATEN ISLANDSCA CIPPARAPETS/FLOOD/AREAWAY WINDOWS/EXT MASONRY/ROOFS,Design,154,144,486615,504130,384443
31R019P.S. 19 - STATEN ISLANDSCA CIPPARAPETS/FLOOD/AREAWAY WINDOWS/EXT MASONRY/ROOFS,Construction,489,842,6578800,13018060,10407230
31R019P.S. 19 - STATEN ISLANDSCA CIPPARAPETS/FLOOD/AREAWAY WINDOWS/EXT MASONRY/ROOFS,"CM, F&E",489,842,969466,778648,648148
31R020P.S. 20 - STATEN ISLANDSCA CIP RESOAFY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,122,114,0,6111,6111
31R020P.S. 20 - STATEN ISLANDSCA CIP RESOAFY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,182,9,27389,24505,24505
31R023P.S. 23 - STATEN ISLANDSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,61,47,0,347,347
31R024I.S. 24 - STATEN ISLANDSCA CIP RESOAFY15 RESO A AUDITORIUM UPGRADE,Scope,122,164,0,3906,3906
31R024I.S. 24 - STATEN ISLANDSCA CIP RESOAFY17 RESO A SCIENCE LAB UPGRADES,Scope,60,69,0,13465,13465
31R024I.S. 24 - STATEN ISLANDSCA CIP RESOAFY17 RESO A SCIENCE LAB UPGRADES,Design,152,47,33810,37424,36328
31R024I.S. 24 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,93,500000,496249,496249
31R027I.S. 27 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,262,74,150000,148873,148873
31R029P.S. 29 - STATEN ISLANDSCA CIPEXTERIOR MASONRY/ROOFS/PARAPETS,Scope,140,130,81466,88843,88113
31R029P.S. 29 - STATEN ISLANDSCA CIPEXTERIOR MASONRY/ROOFS/PARAPETS,Design,150,182,309454,315038,237214
31R029P.S. 29 - STATEN ISLANDSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Scope,61,42,0,17718,875
31R029P.S. 29 - STATEN ISLANDSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Design,89,79,27000,3583,3583
31R030P.S. 30 - STATEN ISLANDSCA CIP RESOAFY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,91,72,0,12532,12532
31R030P.S. 30 - STATEN ISLANDSCA CIP RESOAFY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Design,154,100,41654,50429,50189
31R030P.S. 30 - STATEN ISLANDSCA CIP RESOAFY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,269,260,610929,568109,326920
31R030P.S. 30 - STATEN ISLANDSCA CIP RESOAFY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,"CM, F&E",269,260,41654,58287,55929
31R031P.S. 31 - STATEN ISLANDSCA CIP RESOAFY17 RESO A ELECTRICAL SYSTEMS,Scope,60,49,0,9127,1389
31R031P.S. 31 - STATEN ISLANDSCA CIP RESOAFY17 RESO A ELECTRICAL SYSTEMS,Design,150,60,15809,28614,5555
31R031P.S. 31 - STATEN ISLANDSCA CIP RESOAFY17 RESO A ELECTRICAL SYSTEMS,Construction,239,78,231860,177896,115901
31R031P.S. 31 - STATEN ISLANDSCA CIP RESOAFY17 RESO A ELECTRICAL SYSTEMS,"CM, F&E",239,78,15809,18416,13336
31R032P.S. 32 - STATEN ISLANDSCA CIPWATER INFILTRATION/EXT MASONRY/GYM ROOF,Scope,141,125,44713,64321,61676
31R032P.S. 32 - STATEN ISLANDSCA CIPWATER INFILTRATION/EXT MASONRY/GYM ROOF,Design,152,176,169921,135560,80524
31R032P.S. 32 - STATEN ISLANDTrust For Public LanFY18 RESO A PLAYGROUNDS,Scope,167,167,25000,25000,0
31R034I.S. 34 - STATEN ISLANDSCA CIPFULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,Scope,139,139,182123,156228,156055
31R034I.S. 34 - STATEN ISLANDSCA CIPFULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,Design,183,357,718849,941337,667199
31R034I.S. 34 - STATEN ISLANDSCA CIPSCIENCE LAB UPGRADE,Scope,106,94,18787,28659,28659
31R034I.S. 34 - STATEN ISLANDSCA CIPSCIENCE LAB UPGRADE,Design,156,186,75147,97734,95617
31R034I.S. 34 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,80,500000,496249,496249
31R035P.S. 35 - STATEN ISLANDSCA CIPHEATING PLANT/CLIMATE CONTROL,Scope,154,173,65041,54410,54410
31R035P.S. 35 - STATEN ISLANDSCA CIPHEATING PLANT/CLIMATE CONTROL,Design,154,248,254184,271598,250612
31R035P.S. 35 - STATEN ISLANDSCA CIPHEATING PLANT/CLIMATE CONTROL,Construction,449,605,4229173,4388558,3655783
31R035P.S. 35 - STATEN ISLANDSCA CIPHEATING PLANT/CLIMATE CONTROL,"CM, F&E",449,605,381276,919148,898852
31R039P.S. 39 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,113,80000,79400,79400
31R039P.S. 39 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,113,75000,74438,74438
31R041P.S. 41 - STATEN ISLANDSCA CIPMAIN ELECTRICAL SERVICE/LOW VOLTAGE ELEC SYSTEM,Scope,125,35,31785,17889,17889
31R041P.S. 41 - STATEN ISLANDSCA CIPMAIN ELECTRICAL SERVICE/LOW VOLTAGE ELEC SYSTEM,Design,182,107,122438,68854,68796
31R041P.S. 41 - STATEN ISLANDSCA CIP RESOAFY15 RESO A SECURITY CAMERAS,Scope,122,254,0,8724,8724
31R041P.S. 41 - STATEN ISLANDSCA CIP RESOAFY15 RESO A SECURITY CAMERAS,Design,182,9,30169,35026,35026
31R041P.S. 41 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,78,78,75000,75000,74429
31R042P.S. 42 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,78,82,50000,50000,49625
31R043CSI HS FOR INTL STUDIESSCA CIPPLAYGROUND REDEVELOPMENT,Scope,92,71,43845,61332,61331
31R043CSI HS FOR INTL STUDIESSCA CIPPLAYGROUND REDEVELOPMENT,Design,139,125,175380,203845,197206
31R043CSI HS FOR INTL STUDIESSCA CIPPLAYGROUND REDEVELOPMENT,Construction,329,329,3288375,3123094,2866965
31R043CSI HS FOR INTL STUDIESSCA CIPPLAYGROUND REDEVELOPMENT,"CM, F&E",329,329,204610,103052,96413
31R043I.S./J.H.S. 63 - STATEN ISLANDSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,123,81,0,9051,1313
31R043G MCCOWN EXPEDITIONARY LRNG SCSCA CIP RESOAFY15 RESO A SECURITY CAMERAS,Scope,123,156,0,13243,13243
31R043G MCCOWN EXPEDITIONARY LRNG SCSCA CIP RESOAFY15 RESO A SECURITY CAMERAS,Design,182,75,16224,79319,79223
31R043G MCCOWN EXPEDITIONARY LRNG SCSCA CIP RESOAFY15 RESO A SECURITY CAMERAS,Construction,209,204,237958,95504,51197
31R043G MCCOWN EXPEDITIONARY LRNG SCSCA CIP RESOAFY15 RESO A SECURITY CAMERAS,"CM, F&E",209,204,100410,93304,55775
31R043G MCCOWN EXPEDITIONARY LRNG SCDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,69,120000,119100,119100
31R043G MCCOWN EXPEDITIONARY LRNG SCDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,69,50000,49625,49625
31R043I.S./J.H.S. 63 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,118,50000,49625,49625
31R043CSI HS FOR INTERNATIONAL STUDIDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,64,50000,49625,49625
31R043G MCCOWN EXPEDITIONARY LRNG SCDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,69,50000,49625,49625
31R043I.S./J.H.S. 63 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,113,100000,63578,63578
31R043I.S./J.H.S. 63 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,132,50000,49625,49625
31R043G MCCOWN EXPEDITIONARY LRNG SCDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,69,50000,49625,49625
31R044P.S. 44 - STATEN ISLANDSCA CIP RESOAFY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,123,156,0,5211,5211
31R044P.S. 44 - STATEN ISLANDSCA CIP RESOAFY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,182,75,12130,17339,17175
31R044P.S. 44 - STATEN ISLANDSCA CIP RESOAFY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,209,204,177905,89263,48729
31R044P.S. 44 - STATEN ISLANDSCA CIP RESOAFY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",209,204,90892,94168,55628
31R044P.S. 44 - STATEN ISLANDDCAS/NYPAHIGH EFFICIENCY LIGHTING SYSTEM,Construction,731,731,97247,97247,97247
31R045P.S. 45 - STATEN ISLANDSCA CIPROOFS/PARAPETS /EXTERIOR MASONRY/FLOOD ELIMINATION,Scope,139,191,170248,128958,124537
31R045P.S. 45 - STATEN ISLANDSCA CIPROOFS/PARAPETS /EXTERIOR MASONRY/FLOOD ELIMINATION,Design,152,103,680993,545713,499317
31R045P.S. 45 - STATEN ISLANDSCA CIPROOFS/PARAPETS /EXTERIOR MASONRY/FLOOD ELIMINATION,Construction,619,802,12768628,12116491,11189726
31R045P.S. 45 - STATEN ISLANDSCA CIPROOFS/PARAPETS /EXTERIOR MASONRY/FLOOD ELIMINATION,"CM, F&E",619,802,794492,635995,628346
31R045P.S. 45 - STATEN ISLANDSCA CIP RESOAFY14 RESO A SUPPLEMENTAL COOLING,Scope,63,39,0,223,223
31R045P.S. 45 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,35,250000,248114,248114
31R046P.S. 46 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,85,80000,79400,79400
31R048P.S. 48 - STATEN ISLANDSCA CIPRETAINING WALL,Scope,91,111,13944,35935,35935
31R048P.S. 48 - STATEN ISLANDSCA CIPRETAINING WALL,Design,137,102,51126,131062,100126
31R048NAPLES STREET ELEMENTARY SCHLSCA CIP RESOAFY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,122,33,0,9015,9015
31R048NAPLES STREET ELEMENTARY SCHLSCA CIP RESOAFY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,183,35,27000,18030,18030
31R048NAPLES STREET ELEMENTARY SCHOODIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,76,75000,74438,74438
31R048NAPLES STREET ELEMENTARY SCHOODIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,76,36980,10994,10994
31R049I.S. 49 - STATEN ISLANDSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,23,6688,301,301
31R051I.S. 51 - STATEN ISLANDSCA CIP RESOAFY15 RESO A SCHOOL YARD RENOVATION,Scope,91,91,0,32500,31150
31R051I.S. 51 - STATEN ISLANDSCA CIP RESOAFY15 RESO A SCHOOL YARD RENOVATION,Design,138,257,78000,84235,82785
31R052P.S. 52 - STATEN ISLANDSCA CIP RESOAFY14 RESO A SUPPLEMENTAL COOLING,Scope,61,47,0,184,184
31R053P.S. 53 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,137,140500,139445,139445
31R055P.S. 55 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,70,50000,49622,49622
31R057P.S. 57 - STATEN ISLANDSCA CIPC OF O,Scope,180,481,17940,71822,71822
31R057P.S. 57 - STATEN ISLANDSCA CIPC OF O,Design,110,342,65780,128543,98096
31R058P.S. 58 - STATEN ISLANDSCA CIPMETAL ROOFING,Scope,184,121,8615,5099,5099
31R058P.S. 58 - STATEN ISLANDSCA CIPMETAL ROOFING,Design,160,299,31588,20395,20395
31R058P.S. 58 - STATEN ISLANDSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,122,37,4310,1046,1046
31R058P.S. 58 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,94,50000,49483,49483
31R058P.S. 58 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,94,50000,49625,49625
31R060P.S. 60 - STATEN ISLANDSCA CIP RESOAFY14 RESO A PLAYGROUND REDEVELOPMENT,Scope,90,125,0,21273,19970
31R060P.S. 60 - STATEN ISLANDSCA CIP RESOAFY14 RESO A PLAYGROUND REDEVELOPMENT,Design,139,190,21721,54585,51401
31R060P.S. 60 - STATEN ISLANDSCA CIP RESOAFY14 RESO A PLAYGROUND REDEVELOPMENT,Construction,209,209,318575,348730,195597
31R060P.S. 60 - STATEN ISLANDSCA CIP RESOAFY14 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",209,209,21721,32755,28025
31R060P.S. 60 - STATEN ISLANDSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,58,41,0,8516,8516
31R060P.S. 60 - STATEN ISLANDSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Design,150,66,29487,34990,30106
31R069P.S. 69 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,103,79,50000,50000,49498
31R070P.S. @ 357 TARGEE STREETSCA CapacityNEW SCHOOL,Scope,164,164,1950171,412174,157193
31R070P.S. @ 357 TARGEE STREET - STASCA CIPDEMOLITION,Scope,0,0,63177,1927,1927
31R071P.S. 48 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,230,63,75000,69422,69422
31R072I.S. 72 - STATEN ISLANDDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,87,50000,49625,49625
31R075I.S. 75 - STATEN ISLANDSCA CIPCHILLER REPLACEMENT,Scope,121,138,23925,17862,7550
31R075I.S. 75 - STATEN ISLANDSCA CIPCHILLER REPLACEMENT,Design,154,216,95700,67875,62765
